      Date           Open           High           Low           Close          Volume    Adj Close*
                            
  Apr 25, 2016      30.81          30.86          30.40          30.68        35,126,100       30.68     
  Apr 22, 2016      31.03          31.18          30.31          30.76        55,753,600       30.76     
  Apr 21, 2016      31.12          31.28          30.85          30.98        39,282,700       30.98     
  Apr 20, 2016      31.20          31.35          31.05          31.15        26,442,700       31.15     
  Apr 19, 2016      31.14          31.21          31.01          31.15        22,596,200       31.15     
  Apr 18, 2016      30.90          31.19          30.90          31.06        21,068,200       31.06     
  Apr 15, 2016      31.07          31.10          30.93          31.03        24,349,800       31.03     
  Apr 14, 2016      30.99          31.08          30.86          31.02        21,413,700       31.02     
  Apr 13, 2016      30.98          31.10          30.94          30.98        23,292,800       30.98     
  Apr 12, 2016      30.68          30.93          30.58          30.81        27,221,500       30.81     
  Apr 11, 2016      30.83          31.00          30.71          30.71        25,060,400       30.71     
  Apr 8, 2016       30.90          31.08          30.69          30.79        25,573,600       30.79     
  Apr 7, 2016       30.72          30.78          30.51          30.63        32,800,700       30.63     
  Apr 6, 2016       30.89          31.50          30.64          30.90        35,494,000       30.90     
  Apr 5, 2016       30.95          31.13          30.78          30.98        31,165,700       30.98     
  Apr 4, 2016       31.69          31.71          31.09          31.23        44,922,400       31.23     
  Apr 1, 2016       31.50          32.02          31.45          31.93        39,263,800       31.93     
  Mar 31, 2016      31.89          32.05          31.76          31.79        36,569,600       31.79     
  Mar 30, 2016      31.76          31.95          31.73          31.83        34,385,700       31.83     
  Mar 29, 2016      31.46          31.58          31.28          31.48        37,985,300       31.48     
  Mar 28, 2016      31.14          31.70          31.10          31.49        39,177,900       31.49     
  Mar 24, 2016      30.91          31.11          30.82          31.11        26,791,300       31.11     
  Mar 23, 2016      31.04          31.24          31.01          31.07        27,038,900       31.07     
  Mar 22, 2016      30.98          31.24          30.97          31.06        25,920,100       31.06     
  Mar 21, 2016      30.85          31.20          30.79          31.09        26,375,400       31.09     
  Mar 18, 2016      31.09          31.15          30.90          30.92        51,300,700       30.92     
  Mar 17, 2016      30.22          31.11          30.18          30.96        59,699,800       30.96     
  Mar 16, 2016      30.24          30.31          30.07          30.17        32,653,900       30.17     
  Mar 15, 2016      30.03          30.37          30.03          30.28        28,845,500       30.28     
  Mar 14, 2016      30.22          30.37          30.08          30.27        22,028,200       30.27     
  Mar 11, 2016      30.14          30.58          30.14          30.34        31,840,300       30.34     
  Mar 10, 2016      30.17          30.29          29.79          29.94        33,136,100       29.94     
  Mar 9, 2016       30.16          30.20          29.97          30.05        24,818,300       30.05     
  Mar 8, 2016       30.08          30.22          29.97          30.06        30,537,100       30.06     
  Mar 7, 2016       30.26          30.45          30.13          30.29        25,783,600       30.29     
  Mar 4, 2016       30.22          30.59          30.22          30.46        32,273,700       30.46     
  Mar 3, 2016       30.20          30.40          30.06          30.22        28,112,900       30.22     
  Mar 2, 2016       29.78          30.18          29.76          30.18        37,215,200       30.18     
  Mar 1, 2016       29.41          29.97          29.31          29.88        32,332,700       29.88     
  Feb 29, 2016      29.44          29.55          29.12          29.14        34,166,400       29.14     
  Feb 26, 2016      29.30          29.56          29.29          29.40        29,345,100       29.40     
  Feb 25, 2016      28.80          29.28          28.78          29.23        35,881,300       29.23     
  Feb 25, 2016  0.23 Dividend 
  Feb 24, 2016      28.90          29.05          28.40          28.96        44,928,500       28.73     
  Feb 23, 2016      29.21          29.36          29.08          29.22        31,151,200       28.99     
  Feb 22, 2016      29.02          29.49          29.02          29.41        38,513,100       29.18     
  Feb 19, 2016      28.94          29.13          28.68          29.02        36,065,100       28.79     
  Feb 18, 2016      29.30          29.35          28.99          29.08        31,054,300       28.85     
  Feb 17, 2016      29.14          29.61          29.12          29.34        38,254,800       29.11     
  Feb 16, 2016      28.58          29.03          28.42          28.86        47,218,800       28.63     
  Feb 12, 2016      27.57          28.26          27.36          28.26        57,645,600       28.04     
  Feb 11, 2016      27.75          28.03          27.10          27.45        80,550,000       27.23     
  Feb 10, 2016      28.37          28.70          28.25          28.30        32,492,600       28.08     
  Feb 9, 2016       27.75          28.54          27.75          28.28        37,031,600       28.06     
  Feb 8, 2016       28.22          28.27          27.76          28.17        48,096,400       27.95     
  Feb 5, 2016       29.15          29.20          28.30          28.54        51,984,700       28.31     
  Feb 4, 2016       28.65          29.46          28.49          29.18        53,998,300       28.95     
  Feb 3, 2016       28.39          28.69          27.87          28.67        44,261,600       28.44     
  Feb 2, 2016       28.27          28.29          27.92          28.24        40,071,800       28.02     
  Feb 1, 2016       29.01          29.03          28.56          28.64        43,446,200       28.41     
  Jan 29, 2016      28.46          29.11          28.34          29.10        51,576,200       28.87     
  Jan 28, 2016      28.22          28.35          27.93          28.21        40,069,900       27.99     
  Jan 27, 2016      28.20          28.58          27.82          28.00        46,116,400       27.78     
  Jan 26, 2016      28.07          28.54          28.05          28.31        42,432,900       28.09     
  Jan 25, 2016      28.32          28.49          28.00          28.04        44,848,800       27.82     
  Jan 22, 2016      28.55          28.56          27.71          28.24        87,869,400       28.02     
  Jan 21, 2016      28.13          28.99          28.13          28.59        56,037,600       28.36     

                            * 
